[2026-08-05 11:48:35] [INFO] Script started. Parameter set: Rollback
[2026-08-05 11:48:36] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\Get-OSArchitectureWidth.ps1 -> C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-OSArchitectureWidth.ps1
[2026-08-05 11:48:36] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\Get-PackageParameters.ps1 -> C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-PackageParameters.ps1
[2026-08-05 11:48:36] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\Get-ToolsLocation.ps1 -> C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-ToolsLocation.ps1
[2026-08-05 11:48:36] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\Get-UACEnabled.ps1 -> C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-UACEnabled.ps1
[2026-08-05 11:48:36] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\Get-UninstallRegistryKey.ps1 -> C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-UninstallRegistryKey.ps1
[2026-08-05 11:48:36] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\Get-VirusCheckValid.ps1 -> C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-VirusCheckValid.ps1
[2026-08-05 11:48:36] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\Get-WebFile.ps1 -> C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-WebFile.ps1
[2026-08-05 11:48:36] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\Get-WebFileName.ps1 -> C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-WebFileName.ps1
[2026-08-05 11:48:36] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\Get-WebHeaders.ps1 -> C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-WebHeaders.ps1
[2026-08-05 11:48:36] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\Install-BinFile.ps1 -> C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-BinFile.ps1
